&1&2&3&5&6&10&11&12&13
0&11/03/18 00:00:21&	SMTP-IN	0C2C5ED2CBDA4DA8939DD9B8C7E0F1E7.MAI	816	&213.154.29.27&HELO&HELO&mail.cirkul-m.ru	250 Requested mail action okay, completed	&43&23&	
1&11/03/18 00:00:21&	SMTP-IN	0C2C5ED2CBDA4DA8939DD9B8C7E0F1E7.MAI	816	&213.154.29.27&AUTH&AUTH&LOGIN	334 VXNlcm5hbWU6	&18&12&	
2&11/03/18 00:00:21&	SMTP-IN	0C2C5ED2CBDA4DA8939DD9B8C7E0F1E7.MAI	816	&213.154.29.27&AUTH&{blank}&334 UGFzc3dvcmQ6	&18&14&aedwards	
3&11/03/18 00:00:21&	SMTP-IN	0C2C5ED2CBDA4DA8939DD9B8C7E0F1E7.MAI	816	&213.154.29.27&AUTH&YWVkd2FyZHM=&535 Invalid Username or Password	&34&14&aedwards	
4&11/03/18 00:00:21&	SMTP-IN	0C2C5ED2CBDA4DA8939DD9B8C7E0F1E7.MAI	816	&213.154.29.27&QUIT&QUIT&221 Service closing transmission channel	&42&6&aedwards	
5&11/03/18 00:02:09&	SMTP-IN	50B3A874D885410CA08619AB94859C18.MAI	636	&190.145.52.118&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 11/03/18 00:02:09	&0&0&	
6&11/03/18 00:02:09&	SMTP-IN	50B3A874D885410CA08619AB94859C18.MAI	636	&190.145.52.118&HELO&HELO&mail.cirkul-m.ru	250 Requested mail action okay, completed	&43&23&	
7&11/03/18 00:02:10&	SMTP-IN	50B3A874D885410CA08619AB94859C18.MAI	636	&190.145.52.118&AUTH&AUTH&LOGIN	334 VXNlcm5hbWU6	&18&12&	
8&11/03/18 00:02:10&	SMTP-IN	50B3A874D885410CA08619AB94859C18.MAI	636	&190.145.52.118&AUTH&{blank}&334 UGFzc3dvcmQ6	&18&10&aerica	
9&11/03/18 00:02:10&	SMTP-IN	50B3A874D885410CA08619AB94859C18.MAI	636	&190.145.52.118&AUTH&YWVyaWNh&535 Invalid Username or Password	&34&10&aerica	
10&11/03/18 00:02:11&	SMTP-IN	50B3A874D885410CA08619AB94859C18.MAI	636	&190.145.52.118&QUIT&QUIT&221 Service closing transmission channel	&42&6&aerica	
11&11/03/18 00:02:55&	SMTP-IN	7A5CC8631D334A1E9EC22AA0D864595E.MAI	792	&185.234.219.30&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 11/03/18 00:02:55	&0&0&	
