&1&2&3&5&6&10&11&12&13
0&11/06/18 00:00:48&	SMTP-IN	26E23B490FFC4F39BDFEC25761B79CFC.MAI	748	&177.8.169.156&HELO&HELO&mail.cirkul-m.ru	250 Requested mail action okay, completed	&43&23&	
1&11/06/18 00:00:48&	SMTP-IN	26E23B490FFC4F39BDFEC25761B79CFC.MAI	748	&177.8.169.156&AUTH&AUTH&LOGIN	334 VXNlcm5hbWU6	&18&12&	
2&11/06/18 00:00:49&	SMTP-IN	26E23B490FFC4F39BDFEC25761B79CFC.MAI	748	&177.8.169.156&AUTH&{blank}&334 UGFzc3dvcmQ6	&18&18&contactenos	
3&11/06/18 00:00:49&	SMTP-IN	26E23B490FFC4F39BDFEC25761B79CFC.MAI	748	&177.8.169.156&AUTH&Y29udGFjdGVub3M=&535 Invalid Username or Password	&34&18&contactenos	
4&11/06/18 00:00:50&	SMTP-IN	26E23B490FFC4F39BDFEC25761B79CFC.MAI	748	&177.8.169.156&QUIT&QUIT&221 Service closing transmission channel	&42&6&contactenos	
5&11/06/18 00:02:40&	SMTP-IN	EF392AB250DF428BA2198FBBF6D68D9D.MAI	908	&41.215.208.138&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 11/06/18 00:02:40	&0&0&	
6&11/06/18 00:02:40&	SMTP-IN	EF392AB250DF428BA2198FBBF6D68D9D.MAI	908	&41.215.208.138&HELO&HELO&mail.cirkul-m.ru	250 Requested mail action okay, completed	&43&23&	
7&11/06/18 00:02:41&	SMTP-IN	EF392AB250DF428BA2198FBBF6D68D9D.MAI	908	&41.215.208.138&AUTH&AUTH&LOGIN	334 VXNlcm5hbWU6	&18&12&	
8&11/06/18 00:02:41&	SMTP-IN	EF392AB250DF428BA2198FBBF6D68D9D.MAI	908	&41.215.208.138&AUTH&{blank}&334 UGFzc3dvcmQ6	&18&14&contacto	
9&11/06/18 00:02:42&	SMTP-IN	EF392AB250DF428BA2198FBBF6D68D9D.MAI	908	&41.215.208.138&AUTH&Y29udGFjdG8=&535 Invalid Username or Password	&34&14&contacto	
10&11/06/18 00:02:42&	SMTP-IN	EF392AB250DF428BA2198FBBF6D68D9D.MAI	908	&41.215.208.138&QUIT&QUIT&221 Service closing transmission channel	&42&6&contacto	
11&11/06/18 00:04:18&	SMTP-IN	035F76DC81AA4E20A8C5632039BA8C93.MAI	1008	&211.193.148.63&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 11/06/18 00:04:18	&0&0&	
12&11/06/18 00:04:18&	SMTP-IN	035F76DC81AA4E20A8C5632039BA8C93.MAI	1008	&211.193.148.63&HELO&HELO&mail.cirkul-m.ru	250 Requested mail action okay, completed	&43&23&	
13&11/06/18 00:04:18&	SMTP-IN	035F76DC81AA4E20A8C5632039BA8C93.MAI	1008	&211.193.148.63&AUTH&AUTH&LOGIN	334 VXNlcm5hbWU6	&18&12&	
14&11/06/18 00:04:19&	SMTP-IN	035F76DC81AA4E20A8C5632039BA8C93.MAI	1008	&211.193.148.63&AUTH&{blank}&334 UGFzc3dvcmQ6	&18&14&contactus	
15&11/06/18 00:04:19&	SMTP-IN	035F76DC81AA4E20A8C5632039BA8C93.MAI	1008	&211.193.148.63&AUTH&Y29udGFjdHVz&535 Invalid Username or Password	&34&14&contactus	
16&11/06/18 00:04:19&	SMTP-IN	035F76DC81AA4E20A8C5632039BA8C93.MAI	1008	&211.193.148.63&QUIT&QUIT&221 Service closing transmission channel	&42&6&contactus	
17&11/06/18 00:06:13&	SMTP-IN	B6BCDF50245E41088D745F095177E161.MAI	872	&190.10.181.19&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 11/06/18 00:06:13	&0&0&	
18&11/06/18 00:06:14&	SMTP-IN	B6BCDF50245E41088D745F095177E161.MAI	872	&190.10.181.19&HELO&HELO&mail.cirkul-m.ru	250 Requested mail action okay, completed	&43&23&	
19&11/06/18 00:06:14&	SMTP-IN	B6BCDF50245E41088D745F095177E161.MAI	872	&190.10.181.19&AUTH&AUTH&LOGIN	334 VXNlcm5hbWU6	&18&12&	
20&11/06/18 00:06:14&	SMTP-IN	B6BCDF50245E41088D745F095177E161.MAI	872	&190.10.181.19&AUTH&{blank}&334 UGFzc3dvcmQ6	&18&14&contador	
21&11/06/18 00:06:14&	SMTP-IN	B6BCDF50245E41088D745F095177E161.MAI	872	&190.10.181.19&AUTH&Y29udGFkb3I=&535 Invalid Username or Password	&34&14&contador	
22&11/06/18 00:06:15&	SMTP-IN	B6BCDF50245E41088D745F095177E161.MAI	872	&190.10.181.19&QUIT&QUIT&221 Service closing transmission channel	&42&6&contador	
23&11/06/18 00:06:27&	SMTP-IN	7DF91B9504894B9AAC1A11142FC69A10.MAI	748	&193.169.252.54&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 11/06/18 00:06:27	&0&0&	
24&11/06/18 00:06:27&	SMTP-IN	7DF91B9504894B9AAC1A11142FC69A10.MAI	748	&193.169.252.54&EHLO&EHLO&User	250-cirkul-m.ru [193.169.252.54], this server offers 4 extensions	&129&11&	
25&11/06/18 00:06:27&	SMTP-IN	7DF91B9504894B9AAC1A11142FC69A10.MAI	748	&193.169.252.54&AUTH&AUTH&LOGIN	334 VXNlcm5hbWU6	&18&12&	
26&11/06/18 00:06:27&	SMTP-IN	7DF91B9504894B9AAC1A11142FC69A10.MAI	748	&193.169.252.54&AUTH&{blank}&334 UGFzc3dvcmQ6	&18&10&test1	
27&11/06/18 00:06:27&	SMTP-IN	7DF91B9504894B9AAC1A11142FC69A10.MAI	748	&193.169.252.54&AUTH&V2VsY29tZTE=&535 Invalid Username or Password	&34&14&test1	
28&11/06/18 00:07:44&	SMTP-IN	B62FE1F0DB2249D9A13E423CBBCD52D5.MAI	1008	&80.82.70.189&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 11/06/18 00:07:44	&0&0&	
29&11/06/18 00:07:44&	SMTP-IN	B62FE1F0DB2249D9A13E423CBBCD52D5.MAI	1008	&80.82.70.189&EHLO&EHLO&User	250-cirkul-m.ru [80.82.70.189], this server offers 4 extensions	&127&11&	
30&11/06/18 00:07:44&	SMTP-IN	B62FE1F0DB2249D9A13E423CBBCD52D5.MAI	1008	&80.82.70.189&RSET&RSET&250 Requested mail action okay, completed	&43&6&	
31&11/06/18 00:07:44&	SMTP-IN	B62FE1F0DB2249D9A13E423CBBCD52D5.MAI	1008	&80.82.70.189&AUTH&AUTH&LOGIN	334 VXNlcm5hbWU6	&18&12&	
32&11/06/18 00:07:44&	SMTP-IN	B62FE1F0DB2249D9A13E423CBBCD52D5.MAI	1008	&80.82.70.189&AUTH&{blank}&334 UGFzc3dvcmQ6	&18&26&brand@cirkul-m.ru	
33&11/06/18 00:07:44&	SMTP-IN	B62FE1F0DB2249D9A13E423CBBCD52D5.MAI	1008	&80.82.70.189&AUTH&YnJhbmQxMjM=&535 Invalid Username or Password	&34&14&brand@cirkul-m.ru	
34&11/06/18 00:07:44&	SMTP-IN	B62FE1F0DB2249D9A13E423CBBCD52D5.MAI	1008	&80.82.70.189&QUIT&QUIT&221 Service closing transmission channel	&42&6&brand@cirkul-m.ru	
35&11/06/18 00:07:49&	SMTP-IN	FE2E4A2A88EC4E2B9B68B7F66F1B4AAA.MAI	872	&213.37.253.27&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 11/06/18 00:07:49	&0&0&	
36&11/06/18 00:07:49&	SMTP-IN	FE2E4A2A88EC4E2B9B68B7F66F1B4AAA.MAI	872	&213.37.253.27&HELO&HELO&mail.cirkul-m.ru	250 Requested mail action okay, completed	&43&23&	
37&11/06/18 00:07:49&	SMTP-IN	FE2E4A2A88EC4E2B9B68B7F66F1B4AAA.MAI	872	&213.37.253.27&AUTH&AUTH&LOGIN	334 VXNlcm5hbWU6	&18&12&	
38&11/06/18 00:07:50&	SMTP-IN	FE2E4A2A88EC4E2B9B68B7F66F1B4AAA.MAI	872	&213.37.253.27&AUTH&{blank}&334 UGFzc3dvcmQ6	&18&14&contagio	
39&11/06/18 00:07:50&	SMTP-IN	FE2E4A2A88EC4E2B9B68B7F66F1B4AAA.MAI	872	&213.37.253.27&AUTH&Y29udGFnaW8=&535 Invalid Username or Password	&34&14&contagio	
40&11/06/18 00:07:50&	SMTP-IN	FE2E4A2A88EC4E2B9B68B7F66F1B4AAA.MAI	872	&213.37.253.27&QUIT&QUIT&221 Service closing transmission channel	&42&6&contagio	
41&11/06/18 00:08:41&	SMTP-IN	B136BA50D7704030890259DE500F294D.MAI	748	&185.234.219.30&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 11/06/18 00:08:41	&0&0&	
42&11/06/18 00:08:42&	SMTP-IN	B136BA50D7704030890259DE500F294D.MAI	748	&185.234.219.30&EHLO&EHLO&User	250-cirkul-m.ru [185.234.219.30], this server offers 4 extensions	&129&11&	
43&11/06/18 00:08:42&	SMTP-IN	B136BA50D7704030890259DE500F294D.MAI	748	&185.234.219.30&AUTH&AUTH&LOGIN	334 VXNlcm5hbWU6	&18&12&	
44&11/06/18 00:08:42&	SMTP-IN	B136BA50D7704030890259DE500F294D.MAI	748	&185.234.219.30&AUTH&{blank}&334 UGFzc3dvcmQ6	&18&10&jobs	
45&11/06/18 00:08:42&	SMTP-IN	B136BA50D7704030890259DE500F294D.MAI	748	&185.234.219.30&AUTH&d2VsY29tZQ==&535 Invalid Username or Password	&34&14&jobs	
46&11/06/18 00:09:31&	SMTP-IN	B735551F1BFF45FEA780218D3BDE7963.MAI	908	&180.150.253.38&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 11/06/18 00:09:31	&0&0&	
47&11/06/18 00:09:32&	SMTP-IN	B735551F1BFF45FEA780218D3BDE7963.MAI	908	&180.150.253.38&HELO&HELO&mail.cirkul-m.ru	250 Requested mail action okay, completed	&43&23&	
48&11/06/18 00:09:33&	SMTP-IN	B735551F1BFF45FEA780218D3BDE7963.MAI	908	&180.150.253.38&AUTH&AUTH&LOGIN	334 VXNlcm5hbWU6	&18&12&	
49&11/06/18 00:09:33&	SMTP-IN	B735551F1BFF45FEA780218D3BDE7963.MAI	908	&180.150.253.38&AUTH&{blank}&334 UGFzc3dvcmQ6	&18&10&contar	
50&11/06/18 00:09:34&	SMTP-IN	B735551F1BFF45FEA780218D3BDE7963.MAI	908	&180.150.253.38&AUTH&Y29udGFy&535 Invalid Username or Password	&34&10&contar	
51&11/06/18 00:09:34&	SMTP-IN	B735551F1BFF45FEA780218D3BDE7963.MAI	908	&180.150.253.38&QUIT&QUIT&221 Service closing transmission channel	&42&6&contar	
52&11/06/18 00:11:19&	SMTP-IN	2EAF35A3A2E444BE95FAECB44EC547FD.MAI	1008	&193.169.252.163&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 11/06/18 00:11:19	&0&0&	
53&11/06/18 00:11:19&	SMTP-IN	2EAF35A3A2E444BE95FAECB44EC547FD.MAI	1008	&193.169.252.163&EHLO&EHLO&178.72.90.213	250-cirkul-m.ru [193.169.252.163], this server offers 4 extensions	&130&20&	
54&11/06/18 00:11:19&	SMTP-IN	2EAF35A3A2E444BE95FAECB44EC547FD.MAI	1008	&193.169.252.163&AUTH&AUTH&LOGIN	334 VXNlcm5hbWU6	&18&12&	
55&11/06/18 00:11:19&	SMTP-IN	2EAF35A3A2E444BE95FAECB44EC547FD.MAI	1008	&193.169.252.163&AUTH&{blank}&334 UGFzc3dvcmQ6	&18&10&tablet	
56&11/06/18 00:11:19&	SMTP-IN	2EAF35A3A2E444BE95FAECB44EC547FD.MAI	1008	&193.169.252.163&AUTH&cXdlcnR5&535 Invalid Username or Password	&34&10&tablet	
57&11/06/18 00:11:30&	SMTP-IN	DB792C8552A342EF9D44BE21601A10BF.MAI	872	&186.67.78.38&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 11/06/18 00:11:30	&0&0&	
58&11/06/18 00:12:55&	SMTP-IN	295A45ED7851492F80AE46B9D136E2A6.MAI	748	&213.186.180.179&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 11/06/18 00:12:55	&0&0&	
59&11/06/18 00:12:55&	SMTP-IN	295A45ED7851492F80AE46B9D136E2A6.MAI	748	&213.186.180.179&HELO&HELO&mail.cirkul-m.ru	250 Requested mail action okay, completed	&43&23&	
60&11/06/18 00:12:55&	SMTP-IN	295A45ED7851492F80AE46B9D136E2A6.MAI	748	&213.186.180.179&AUTH&AUTH&LOGIN	334 VXNlcm5hbWU6	&18&12&	
61&11/06/18 00:12:55&	SMTP-IN	295A45ED7851492F80AE46B9D136E2A6.MAI	748	&213.186.180.179&AUTH&{blank}&334 UGFzc3dvcmQ6	&18&14&contato	
62&11/06/18 00:12:56&	SMTP-IN	295A45ED7851492F80AE46B9D136E2A6.MAI	748	&213.186.180.179&AUTH&Y29udGF0bw==&535 Invalid Username or Password	&34&14&contato	
63&11/06/18 00:12:56&	SMTP-IN	295A45ED7851492F80AE46B9D136E2A6.MAI	748	&213.186.180.179&QUIT&QUIT&221 Service closing transmission channel	&42&6&contato	
64&11/06/18 00:14:41&	SMTP-IN	B5C9F00376694A18997206ECB064C8F8.MAI	908	&12.172.181.50&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 11/06/18 00:14:41	&0&0&	
65&11/06/18 00:14:42&	SMTP-IN	B5C9F00376694A18997206ECB064C8F8.MAI	908	&12.172.181.50&HELO&HELO&mail.cirkul-m.ru	250 Requested mail action okay, completed	&43&23&	
66&11/06/18 00:14:42&	SMTP-IN	B5C9F00376694A18997206ECB064C8F8.MAI	908	&12.172.181.50&AUTH&AUTH&LOGIN	334 VXNlcm5hbWU6	&18&12&	
