&1&2&3&5&6&10&11&12&13
0&11/20/18 00:01:38&	SMTP-IN	D2339B8FE0974DCFB21E6A93F9DFB1BE.MAI	700	&2.82.249.86&HELO&HELO&mail.cirkul-m.ru	250 Requested mail action okay, completed	&43&23&	
1&11/20/18 00:01:39&	SMTP-IN	D2339B8FE0974DCFB21E6A93F9DFB1BE.MAI	700	&2.82.249.86&AUTH&AUTH&LOGIN	334 VXNlcm5hbWU6	&18&12&	
2&11/20/18 00:01:39&	SMTP-IN	D2339B8FE0974DCFB21E6A93F9DFB1BE.MAI	700	&2.82.249.86&AUTH&{blank}&334 UGFzc3dvcmQ6	&18&10&nika	
3&11/20/18 00:01:39&	SMTP-IN	D2339B8FE0974DCFB21E6A93F9DFB1BE.MAI	700	&2.82.249.86&AUTH&bmlrYQ==&535 Invalid Username or Password	&34&10&nika	
4&11/20/18 00:01:40&	SMTP-IN	D2339B8FE0974DCFB21E6A93F9DFB1BE.MAI	700	&2.82.249.86&QUIT&QUIT&221 Service closing transmission channel	&42&6&nika	
5&11/20/18 00:03:21&	SMTP-IN	7FF267450AA64D9DBD23C5AC7EE506E4.MAI	752	&186.251.225.186&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 11/20/18 00:03:21	&0&0&	
6&11/20/18 00:03:21&	SMTP-IN	7FF267450AA64D9DBD23C5AC7EE506E4.MAI	752	&186.251.225.186&HELO&HELO&mail.cirkul-m.ru	250 Requested mail action okay, completed	&43&23&	
7&11/20/18 00:03:21&	SMTP-IN	7FF267450AA64D9DBD23C5AC7EE506E4.MAI	752	&186.251.225.186&AUTH&AUTH&LOGIN	334 VXNlcm5hbWU6	&18&12&	
8&11/20/18 00:03:22&	SMTP-IN	7FF267450AA64D9DBD23C5AC7EE506E4.MAI	752	&186.251.225.186&AUTH&{blank}&334 UGFzc3dvcmQ6	&18&10&nikhil	
9&11/20/18 00:03:22&	SMTP-IN	7FF267450AA64D9DBD23C5AC7EE506E4.MAI	752	&186.251.225.186&AUTH&bmlraGls&535 Invalid Username or Password	&34&10&nikhil	
10&11/20/18 00:03:23&	SMTP-IN	7FF267450AA64D9DBD23C5AC7EE506E4.MAI	752	&186.251.225.186&QUIT&QUIT&221 Service closing transmission channel	&42&6&nikhil	
11&11/20/18 00:04:41&	SMTP-IN	2388D076C53242B0A946961C239A836A.MAI	740	&80.82.70.189&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 11/20/18 00:04:41	&0&0&	
12&11/20/18 00:04:41&	SMTP-IN	2388D076C53242B0A946961C239A836A.MAI	740	&80.82.70.189&EHLO&EHLO&User	250-cirkul-m.ru [80.82.70.189], this server offers 4 extensions	&127&11&	
13&11/20/18 00:04:41&	SMTP-IN	2388D076C53242B0A946961C239A836A.MAI	740	&80.82.70.189&RSET&RSET&250 Requested mail action okay, completed	&43&6&	
